region,price,bedrooms,bathrooms,mainroad,guestroom,basement,airconditioning,parking,furnishingstatus
North,,2,2,yes,no,yes,no,1,furnished
West,,3,1,no,no,no,no,0,unfurnished
East,,3,1,no,no,no,no,0,unfurnished
West,,2,1,yes,no,no,no,0,furnished
London,,3,1,yes,no,no,no,0,unfurnished
West,,3,1,no,no,no,no,0,semi-furnished
East,,3,1,yes,no,yes,no,0,unfurnished
East,,2,1,no,yes,no,no,1,unfurnished
West,,2,1,yes,no,no,no,1,unfurnished
Southwest,,2,1,yes,yes,no,no,0,unfurnished
East,,2,1,yes,no,no,no,0,unfurnished
Northeast,,2,1,yes,no,no,no,0,unfurnished
North,,2,1,no,no,no,no,0,unfurnished
London,,3,1,yes,no,no,no,0,furnished
Northwest,,4,2,yes,no,no,no,0,furnished
East,,2,1,yes,no,no,no,0,unfurnished
North,,2,1,yes,no,no,no,0,unfurnished
East,,2,1,yes,no,no,no,0,unfurnished
Southeast,,2,1,no,no,yes,no,0,semi-furnished
Northeast,,1,1,no,no,no,no,0,unfurnished
Northeast,,3,1,yes,no,yes,no,0,unfurnished
Southeast,,3,1,no,no,no,no,0,unfurnished
Northwest,,3,1,no,no,no,yes,0,unfurnished
West,,2,1,no,no,no,no,0,unfurnished
London,,3,1,yes,no,no,no,0,unfurnished
West,,4,1,yes,no,no,no,0,unfurnished
East,,2,1,yes,no,no,no,1,unfurnished
Southwest,,5,1,no,no,no,no,0,unfurnished
Southeast,,3,1,yes,no,no,no,0,unfurnished
North,,2,1,yes,no,no,no,0,unfurnished
West,,2,1,no,no,no,no,1,unfurnished
West,,2,1,yes,no,yes,no,2,unfurnished
London,,3,1,no,no,no,no,0,semi-furnished
North,,2,1,yes,no,no,no,0,unfurnished
West,,3,1,no,no,no,no,0,furnished
Northeast,,3,1,yes,no,no,no,0,unfurnished
